,Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%,Year,Season,Club_Name
1095,Steve Clark,POR,GK,11,9,846,61,44,17,1.89,0/0,5,4,2,3,45.5,72.1,2018,reg,Portland Timbers
1096,Brian Rowe ,ORL,GK,10,10,900,50,29,22,2.2,2/2,3,3,4,0,30.0,58.0,2018,reg,Orlando City SC
1097,Matt Lampson,CLB,GK,9,9,810,54,31,20,2.22,1/1,2,7,0,0,22.2,57.4,2018,reg,Columbus Crew SC
1098,Brad Knighton,NE,GK,7,7,630,46,33,13,1.86,1/1,2,3,2,2,28.6,71.7,2018,reg,New England Revolution
1099,Clint Irwin,COL,GK,7,7,630,47,27,19,2.71,1/1,1,6,0,0,14.3,57.4,2018,reg,Colorado Rapids
1100,Chris Seitz,DC,GK,6,6,540,23,14,9,1.5,1/2,1,3,2,1,16.7,60.9,2018,reg,DC United
1101,Jake Gleeson,POR,GK,6,6,540,29,15,14,2.33,1/1,1,3,2,0,16.7,51.7,2018,reg,Portland Timbers
1102,Earl Edwards Jr.,DC,GK,5,5,392,26,15,10,2.0,0/0,1,2,1,0,20.0,57.7,2018,reg,DC United
1103,Patrick McLain,CHI,GK,5,5,403,20,13,6,1.2,1/1,1,2,1,1,20.0,65.0,2018,reg,Chicago Fire FC
1104,JT Marcinkowski,SJ,GK,5,5,450,32,20,11,2.2,1/1,0,4,1,1,0.0,62.5,2018,reg,San Jose Earthquakes
1105,Adam Grinwis,ORL,GK,5,5,450,20,14,6,1.2,0/1,1,3,1,1,20.0,70.0,2018,reg,Orlando City SC
1106,Jon Kempin,CLB,GK,5,5,450,18,10,8,1.6,1/1,2,1,2,0,40.0,55.6,2018,reg,Columbus Crew SC
1107,Stefan Cleveland,SEA,GK,5,5,450,33,25,8,1.6,1/1,1,3,1,0,20.0,75.8,2018,reg,Seattle Sounders FC
1108,Ryan Meara,RBNY,GK,3,3,270,16,12,3,1.0,0/1,1,1,1,1,33.3,75.0,2018,reg,
1109,Andrew Putna,RSL,GK,2,1,135,7,6,1,1.0,0/0,1,0,0,0,50.0,85.7,2018,reg,Real Salt Lake
1110,Zac MacMath,RSL,GK,2,1,158,16,9,5,5.0,2/2,0,2,0,0,0.0,56.3,2018,reg,Real Salt Lake
1111,Tyler Deric,HOU,GK,2,2,180,14,7,7,3.5,1/1,0,2,0,0,0.0,50.0,2018,reg,Houston Dynamo FC
1112,Brad Stuver,NYC,GK,2,2,180,9,5,4,2.0,0/0,1,0,1,0,50.0,55.6,2018,reg,New York City FC
1113,Paul Christensen,ATL,GK,1,0,53,3,1,2,2.0,0/0,0,1,0,0,0.0,33.3,2018,reg,Atlanta United FC
1114,Alec Kann,ATL,GK,1,1,90,6,5,1,1.0,0/0,1,0,0,0,100.0,83.3,2018,reg,Atlanta United FC
1115,John McCarthy,MIA,GK,1,1,90,6,6,0,0.0,0/0,1,0,0,1,100.0,100.0,2018,reg,Inter Miami CF
1116,Luis Lopez,LFC,GK,1,1,90,5,3,2,2.0,1/1,0,1,0,0,0.0,60.0,2018,reg,
1117,Bryan Meredith,VAN,GK,1,1,90,6,3,3,3.0,0/0,0,1,0,0,0.0,50.0,2018,reg,Vancouver Whitecaps
1118,Sean Melvin,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,Vancouver Whitecaps
1119,Quillan Roberts,LFC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,
1120,Brian Sylvestre,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,LA Galaxy
1121,Cody Cropper,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,Houston Dynamo FC
1122,Clement Diop,MTL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,CF Montreal
1123,Alex Horwath,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,Real Salt Lake
1124,Andrew Dykstra,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,Colorado Rapids
1125,Caleb Patterson-Sewell,TOR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,Toronto FC
1126,Jake McGuire,PHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,Philadelphia Union
1127,Matt Bersano,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,San Jose Earthquakes
1128,Kendall McIntosh,RBNY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,
1129,Mitch Hildebrandt,ATL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,Atlanta United FC
1130,Kyle Zobeck,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,FC Dallas
1131,Zac Lubin,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,Seattle Sounders FC
1132,Evan Louro,NY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,
1133,Justin Vom Steeg,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,LA Galaxy
1134,James Pantemis,MTL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,CF Montreal
1135,Andre Rawls,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,Colorado Rapids
1136,Calle Brown,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,Seattle Sounders FC
1137,Adrian Zendejas,NSH,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,Nashville SC
1138,Mason Stajduhar,ORL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,Orlando City SC
1139,Connor Sparrow,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,Chicago Fire FC
1140,Travis Worra,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,DC United
1141,Charlie Lyon,LFC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,
1142,Jeff Caldwell,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,New England Revolution
1143,Michael Nelson,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,Houston Dynamo FC
1144,Jason Beaulieu,MTL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,CF Montreal
1145,Logan Ketterer,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,Columbus Crew SC
1146,Alex Kapp,MIN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,Minnesota United FC
1147,Eric Dick,SKC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,Sporting Kansas City
1148,Ben Lundgaard,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2018,reg,Columbus Crew SC
1149,Vito Mannone,MIN,GK,34,34,3060,175,129,43,1.26,3/4,15,11,8,11,44.1,73.7,2019,reg,Minnesota United FC
1150,Brad Guzan,ATL,GK,34,34,3060,135,91,43,1.26,3/5,18,12,4,14,52.9,67.4,2019,reg,Atlanta United FC
1151,Daniel Vega,SJ,GK,34,34,3060,164,108,55,1.62,4/7,13,16,5,7,38.2,65.9,2019,reg,San Jose Earthquakes
1152,Stefan Frei,SEA,GK,34,34,3060,165,116,49,1.44,5/5,16,10,8,10,47.1,70.3,2019,reg,Seattle Sounders FC
1153,Bill Hamid,DC,GK,33,33,2970,168,126,37,1.12,1/5,12,10,11,14,36.4,75.0,2019,reg,DC United
1154,Luis Robles,MIA,GK,33,33,2970,138,88,50,1.52,6/7,13,14,6,9,39.4,63.8,2019,reg,Inter Miami CF
1155,David Bingham,LA,GK,33,33,2970,195,141,55,1.67,6/8,16,14,3,8,48.5,72.3,2019,reg,LA Galaxy
1156,Tim Melia,SKC,GK,32,32,2880,173,111,60,1.88,1/4,10,15,7,6,31.3,64.2,2019,reg,Sporting Kansas City
1157,Evan Bush,MTL,GK,32,32,2880,144,84,59,1.84,6/7,11,17,4,7,34.4,58.3,2019,reg,CF Montreal
1158,Brian Rowe ,ORL,GK,32,32,2880,160,110,49,1.53,1/1,9,14,9,7,28.1,68.8,2019,reg,Orlando City SC
1159,Jesse Gonzalez,DAL,GK,32,32,2880,128,84,42,1.31,5/7,13,11,8,8,40.6,65.6,2019,reg,FC Dallas
1160,Sean Johnson,NYC,GK,29,29,2610,116,78,36,1.24,8/10,14,5,10,7,48.3,67.2,2019,reg,New York City FC
1161,Nick Rimando,RSL,GK,29,29,2610,113,75,35,1.21,3/4,14,11,4,10,48.3,66.4,2019,reg,Real Salt Lake
1162,Quentin Westberg,TOR,GK,28,28,2505,115,75,41,1.46,7/10,9,9,9,4,32.1,65.2,2019,reg,Toronto FC
1163,Tyler Miller,MIN,GK,28,28,2520,103,72,28,1.0,2/2,18,2,8,9,64.3,69.9,2019,reg,Minnesota United FC
1164,Joe Willis,NSH,GK,27,27,2430,133,88,44,1.63,7/7,10,13,4,3,37.0,66.2,2019,reg,Nashville SC
1165,Andre Blake,PHI,GK,26,26,2304,103,59,41,1.58,3/4,11,10,5,3,42.3,57.3,2019,reg,Philadelphia Union
1166,Maxime Crepeau,VAN,GK,26,26,2340,159,114,46,1.77,7/7,7,13,6,5,26.9,71.7,2019,reg,Vancouver Whitecaps
1167,Tim Howard,COL,GK,25,25,2159,117,73,46,1.84,5/6,8,12,4,5,32.0,62.4,2019,reg,Colorado Rapids
1168,Steve Clark,POR,GK,24,24,2160,109,84,25,1.04,3/4,13,6,5,6,54.2,77.1,2019,reg,Portland Timbers
1169,Matt Turner,NE,GK,20,20,1766,116,87,27,1.35,1/1,8,4,7,5,40.0,75.0,2019,reg,New England Revolution
1170,Kenneth Kronholm,CHI,GK,20,20,1800,87,58,27,1.35,3/3,6,6,8,5,30.0,66.7,2019,reg,Chicago Fire FC
1171,Spencer Richey,CIN,GK,19,19,1710,106,61,45,2.37,2/5,5,12,2,2,26.3,57.5,2019,reg,FC Cincinnati
1172,Przemyslaw Tyton,CIN,GK,15,15,1350,62,32,30,2.0,1/2,1,10,4,3,6.7,51.6,2019,reg,FC Cincinnati
1173,David Ousted,CHI,GK,14,14,1260,56,34,20,1.43,1/2,4,6,4,4,28.6,60.7,2019,reg,Chicago Fire FC
1174,Zack Steffen,CLB,GK,13,13,1170,56,39,17,1.31,1/2,5,6,2,4,38.5,69.6,2019,reg,Columbus Crew SC
1175,Eloy Room,CLB,GK,12,12,1080,47,33,14,1.17,2/2,5,2,5,1,41.7,70.2,2019,reg,Columbus Crew SC
1176,Clint Irwin,COL,GK,11,9,901,58,42,17,1.89,2/3,4,4,2,1,36.4,72.4,2019,reg,Colorado Rapids
1177,Jeff Attinella,POR,GK,10,10,900,64,40,24,2.4,3/3,1,7,2,0,10.0,62.5,2019,reg,Portland Timbers
1178,Brad Knighton,NE,GK,8,7,662,29,16,13,1.86,1/1,1,3,4,0,12.5,55.2,2019,reg,New England Revolution
1179,Zac MacMath,RSL,GK,8,8,720,52,37,13,1.63,1/1,1,3,4,0,12.5,71.2,2019,reg,Real Salt Lake
1180,Alex Bono,TOR,GK,7,6,555,28,16,11,1.83,3/3,4,1,2,1,57.1,57.1,2019,reg,Toronto FC
1181,Cody Cropper,HOU,GK,7,7,630,49,29,17,2.43,2/2,2,4,1,1,28.6,59.2,2019,reg,Houston Dynamo FC
1182,Tyler Deric,HOU,GK,7,7,630,36,19,15,2.14,0/0,2,5,0,0,28.6,52.8,2019,reg,Houston Dynamo FC
1183,Matt Freese,PHI,GK,6,5,437,23,13,7,1.4,2/2,1,1,2,0,16.7,56.5,2019,reg,Philadelphia Union
1184,Joe Bendik,PHI,GK,6,6,540,27,14,12,2.0,1/1,0,5,1,0,0.0,51.9,2019,reg,Philadelphia Union
1185,Pablo Sisniega,LAFC,GK,6,6,540,26,17,9,1.5,0/1,3,2,1,0,50.0,65.4,2019,reg,LAFC
1186,Andrew Putna,RSL,GK,5,5,450,19,12,6,1.2,0/1,2,2,1,2,40.0,63.2,2019,reg,Real Salt Lake
1187,Brad Stuver,NYC,GK,5,5,450,14,10,6,1.2,0/0,4,1,0,1,80.0,71.4,2019,reg,New York City FC
1188,Carlos Miguel Coronel,PHI,GK,4,3,319,11,9,2,0.67,0/0,4,0,0,1,100.0,81.8,2019,reg,Philadelphia Union
1189,Jon Kempin,CLB,GK,3,3,270,8,4,4,1.33,0/0,0,3,0,0,0.0,50.0,2019,reg,Columbus Crew SC
1190,Jimmy Maurer,DAL,GK,2,2,180,12,8,4,2.0,0/1,0,1,1,0,0.0,66.7,2019,reg,FC Dallas
1191,Clement Diop,MTL,GK,2,2,180,7,6,1,0.5,0/0,1,0,1,1,50.0,85.7,2019,reg,CF Montreal
1192,Greg Ranjitsingh,MIN,GK,2,2,180,7,4,3,1.5,0/0,0,1,1,0,0.0,57.1,2019,reg,Minnesota United FC
1193,Adrian Zendejas,NSH,GK,1,1,90,4,3,1,1.0,1/1,0,0,1,0,0.0,75.0,2019,reg,Nashville SC
1194,Eric Dick,SKC,GK,1,1,90,9,3,6,6.0,0/0,0,1,0,0,0.0,33.3,2019,reg,Sporting Kansas City
1195,Matt Lampson,CLB,GK,1,1,90,7,3,4,4.0,0/0,0,1,0,0,0.0,42.9,2019,reg,Columbus Crew SC
1196,Ryan Meara,RBNY,GK,1,1,90,5,4,1,1.0,0/0,1,0,0,0,100.0,80.0,2019,reg,
1197,Chris Seitz,DC,GK,1,1,90,3,2,1,1.0,1/1,1,0,0,0,100.0,66.7,2019,reg,DC United
1198,Bobby Shuttleworth,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,Chicago Fire FC
1199,Caleb Patterson-Sewell,TOR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,Toronto FC
1200,Bryan Meredith,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,Vancouver Whitecaps
1201,Earl Edwards Jr.,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,DC United
1202,Aljaz Ivacic,POR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,Portland Timbers
1203,Sean Melvin,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,Vancouver Whitecaps
1204,Richard Sanchez,SKC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,Sporting Kansas City
1205,Alex Horwath,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,Real Salt Lake
1206,Ben Lundgaard,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,Columbus Crew SC
1207,Michael Nelson,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,Houston Dynamo FC
1208,Jason Beaulieu,MTL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,CF Montreal
1209,Phillip Ejimadu,LAFC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,LAFC
1210,Gabriel Slonina,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,Chicago Fire FC
1211,Jimmy Hague,CIN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,FC Cincinnati
1212,Stefan Cleveland,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,Seattle Sounders FC
1213,Mason Stajduhar,ORL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,Orlando City SC
1214,Andrew Tarbell,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,Columbus Crew SC
1215,Andre Rawls,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,Colorado Rapids
1216,Trey Muse,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,Seattle Sounders FC
1217,James Pantemis,MTL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,CF Montreal
1218,Luis Barraza,NYC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,New York City FC
1219,Evan Louro,NY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,
1220,Dayne St. Clair,MIN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,Minnesota United FC
1221,Justin Vom Steeg,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,LA Galaxy
1222,Kyle Zobeck,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,FC Dallas
1223,Alec Kann,ATL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,Atlanta United FC
1224,Kendall McIntosh,RBNY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,
1225,Matt Bersano,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,San Jose Earthquakes
1226,Brendan Moore,ATL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,Atlanta United FC
1227,Jeff Caldwell,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,New England Revolution
1228,Adam Grinwis,ORL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,Orlando City SC
1229,Thomas Hasal,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,Vancouver Whitecaps
1230,David Ochoa,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2019,reg,Real Salt Lake
1231,Mark Simpson,,GK,6,6,543,28,21,7,1.17,0/0,5,0,0,1,83.3,75.0,1996,post,
1232,Jorge Campos,,GK,6,6,544,35,25,6,1.0,0/0,2,2,0,1,33.3,71.4,1996,post,
1233,Garth Lagerwey,,GK,5,5,450,31,18,9,1.8,0/0,2,3,0,0,40.0,58.1,1996,post,
1234,Mark Dougherty,,GK,4,4,360,17,10,7,1.75,0/0,2,2,0,1,50.0,58.8,1996,post,
1235,David Kramer,,GK,3,0,72,3,2,0,0.0,0/0,2,0,0,1,66.7,66.7,1996,post,
1236,Mark Dodd,,GK,3,3,270,29,19,6,2.0,0/0,1,2,0,0,33.3,65.5,1996,post,
1237,Brad Friedel,,GK,3,3,270,22,14,7,2.33,0/0,1,2,0,0,33.3,63.6,1996,post,
1238,Tony Meola,,GK,3,3,270,25,19,5,1.67,1/1,1,2,0,0,33.3,76.0,1996,post,
1239,Dave Salzwedel,,GK,3,3,270,22,18,4,1.33,1/1,1,2,0,1,33.3,81.8,1996,post,
1240,Jeff Causey,,GK,1,0,1,0,0,0,0.0,0/0,0,1,0,0,0.0,0.0,1996,post,
1241,Scott Budnick,,GK,1,1,90,6,4,2,2.0,0/0,0,1,0,0,0.0,66.7,1996,post,
1242,Mark Simpson,,GK,6,6,543,28,21,7,1.17,0/0,5,0,0,1,83.3,75.0,1996,post,
1243,Jorge Campos,,GK,6,6,544,35,25,6,1.0,0/0,2,2,0,1,33.3,71.4,1996,post,
1244,Garth Lagerwey,,GK,5,5,450,31,18,9,1.8,0/0,2,3,0,0,40.0,58.1,1996,post,
1245,Mark Dougherty,,GK,4,4,360,17,10,7,1.75,0/0,2,2,0,1,50.0,58.8,1996,post,
1246,David Kramer,,GK,3,0,72,3,2,0,0.0,0/0,2,0,0,1,66.7,66.7,1996,post,
1247,Mark Dodd,,GK,3,3,270,29,19,6,2.0,0/0,1,2,0,0,33.3,65.5,1996,post,
1248,Brad Friedel,,GK,3,3,270,22,14,7,2.33,0/0,1,2,0,0,33.3,63.6,1996,post,
1249,Tony Meola,,GK,3,3,270,25,19,5,1.67,1/1,1,2,0,0,33.3,76.0,1996,post,
1250,Dave Salzwedel,,GK,3,3,270,22,18,4,1.33,1/1,1,2,0,1,33.3,81.8,1996,post,
1251,Jeff Causey,,GK,1,0,1,0,0,0,0.0,0/0,0,1,0,0,0.0,0.0,1996,post,
1252,Scott Budnick,,GK,1,1,90,6,4,2,2.0,0/0,0,1,0,0,0.0,66.7,1996,post,
1253,Scott Garlick,,GK,5,5,449,33,26,5,1.0,1/1,4,0,0,1,80.0,78.8,1997,post,
1254,Marcus Hahnemann,,GK,5,5,450,28,23,5,1.0,0/0,4,1,0,2,80.0,82.1,1997,post,
1255,Mark Dodd,,GK,4,4,360,13,8,3,0.75,0/0,2,2,0,2,50.0,61.5,1997,post,
1256,Brad Friedel,,GK,4,4,360,25,20,5,1.25,0/0,2,2,0,1,50.0,80.0,1997,post,
1257,Mike Ammann,,GK,2,2,180,15,9,6,3.0,0/0,0,2,0,0,0.0,60.0,1997,post,
1258,Kevin Hartman,,GK,2,2,180,8,4,3,1.5,0/0,0,2,0,1,0.0,50.0,1997,post,
1259,Walter Zenga,,GK,2,2,180,14,7,5,2.5,0/0,0,2,0,0,0.0,50.0,1997,post,
1260,Tom Presthus,,GK,1,0,1,0,0,0,0.0,0/0,1,0,0,0,100.0,0.0,1997,post,
1261,Scott Budnick,,GK,1,1,90,4,2,2,2.0,0/0,0,1,0,0,0.0,50.0,1997,post,
1262,Mark Dougherty,,GK,1,1,90,4,2,2,2.0,0/0,0,1,0,0,0.0,50.0,1997,post,
1263,Garth Lagerwey,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1997,post,
1264,Chris Snitko,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1997,post,
1265,Jeff Causey,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1997,post,
1266,Paul Grafer,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1997,post,
1267,Jorge Campos,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1997,post,
1268,Tom Presthus,,GK,6,6,540,26,18,7,1.17,0/0,4,2,0,3,66.7,69.2,1998,post,
1269,Zach Thornton,,GK,5,5,450,22,20,2,0.4,0/0,5,0,0,3,100.0,90.9,1998,post,
1270,Juergen Sommer,,GK,5,5,450,29,17,11,2.2,1/1,3,2,0,0,60.0,58.6,1998,post,
1271,Kevin Hartman,,GK,4,4,360,21,15,5,1.25,0/0,2,2,0,0,50.0,71.4,1998,post,
1272,Mark Dodd,,GK,2,2,180,18,9,9,4.5,0/0,0,2,0,0,0.0,50.0,1998,post,
1273,Jeff Cassar,,GK,2,2,180,7,3,2,1.0,0/0,0,2,0,1,0.0,42.9,1998,post,
1274,Tony Meola,,GK,2,2,180,10,4,6,3.0,0/0,0,2,0,0,0.0,40.0,1998,post,
1275,Marcus Hahnemann,,GK,2,2,180,13,11,2,1.0,2/2,0,2,0,0,0.0,84.6,1998,post,
1276,Tim Howard,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1998,post,
1277,Scott Garlick,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1998,post,
1278,Matt Jordan,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1998,post,
1279,Mark Dougherty,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1998,post,
1280,Dusty Hudock,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1998,post,
1281,Garth Lagerwey,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1998,post,
1282,Matt Napoleon,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1998,post,
1283,Mark Simpson,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1998,post,
1284,David Winner,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1998,post,
1285,Matt Reis,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1998,post,
1286,Scott Budnick,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1998,post,
1287,Randy Dedini,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1998,post,
1288,Tom Presthus,,GK,6,6,540,25,17,6,1.0,0/0,5,1,0,4,83.3,68.0,1999,post,
1289,Kevin Hartman,,GK,6,6,540,32,25,6,1.0,1/1,4,2,0,2,66.7,78.1,1999,post,
1290,Mark Dougherty,,GK,5,5,450,27,17,7,1.4,0/0,3,2,0,2,60.0,63.0,1999,post,
1291,Matt Jordan,,GK,4,4,315,16,8,8,2.0,0/0,2,2,0,0,50.0,50.0,1999,post,
1292,Mark Dodd,,GK,3,2,225,15,9,6,3.0,1/1,1,1,0,0,33.3,60.0,1999,post,
1293,Zach Thornton,,GK,3,3,270,15,10,5,1.67,1/1,1,2,0,1,33.3,66.7,1999,post,
1294,Scott Garlick,,GK,2,2,180,11,7,4,2.0,0/0,0,2,0,0,0.0,63.6,1999,post,
1295,Ian Feuer,,GK,2,2,180,13,7,5,2.5,1/1,0,2,0,0,0.0,53.8,1999,post,
1296,Jeff Cassar,,GK,2,2,180,11,9,2,1.0,0/0,0,2,0,1,0.0,81.8,1999,post,
1297,Greg Sutton,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1999,post,
1298,Andy Kirk,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1999,post,
1299,Garth Lagerwey,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1999,post,
1300,Matt Napoleon,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1999,post,
1301,Matt Nyman,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1999,post,
1302,Russell Payne,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1999,post,
1303,Mark Simpson,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1999,post,
1304,David Winner,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,1999,post,
1305,Zach Thornton,,GK,7,7,630,42,29,8,1.14,0/0,4,3,0,2,57.1,69.0,2000,post,
1306,Tony Meola,,GK,7,7,659,34,30,4,0.57,1/1,4,1,2,5,57.1,88.2,2000,post,
1307,Kevin Hartman,,GK,5,5,418,25,20,5,1.0,1/1,2,1,1,1,40.0,80.0,2000,post,
1308,Jeff Causey,,GK,3,3,270,15,6,9,3.0,0/1,1,2,0,0,33.3,40.0,2000,post,
1309,David Kramer,,GK,3,3,280,19,15,4,1.33,0/0,0,2,1,1,0.0,78.9,2000,post,
